id,name,code,nomenclature,level,version,tunit_code,tunit_name,processes,sources,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT11,Burgenland,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,11,11.2,11.6,12.6,12.6,12.7,14.9,13.2,14.1,15.1,14.8,14.8,13.9,15.8,25.7,28.5,27.9,28,28.4,30.7,33.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT12,Niederosterreich,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,13,13.3,13.8,12.6,17.3,17.1,15.1,15,16.1,17.6,17.9,17.2,17.2,17.6,29.1,30.3,30.2,32,31.9,32.4,33
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT13,Wien,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.2,20,20.5,21.2,24.2,23.3,23.7,22.6,24.1,26,27.3,26.6,27.5,30.6,39.1,39.3,39.9,42.1,42.3,42.9,42.7
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT21,Karnten,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,11.3,12.8,14.8,14.4,16.7,16,15.9,16,16.2,17.2,16.6,16.3,17.2,17.3,28.8,28.3,29.4,29.7,30.6,30.8,32.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT22,Steiermark,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,11.6,13.1,14.2,14.9,15.9,16.6,16.3,15.9,15.6,16.6,15.5,16.8,17.9,17.5,25.7,26.7,27.4,27.8,28.7,30.1,31.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT31,Oberosterreich,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,13.3,13.5,14.8,14.5,15.5,15.4,15.9,16.4,16.6,16.4,17.3,16.9,17.2,17.2,26.7,27.5,29.1,29.2,29,31.8,31.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT32,Salzburg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,15.5,15.7,15.2,16.5,19.3,18.9,17.8,18.1,17.8,19.4,19.5,19.8,20.5,21.8,29.8,30.2,31.5,31.2,32.3,32.8,32.5
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT33,Tirol,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,12.2,13.4,15.5,14.9,16,14.7,14.9,16.2,16.7,17,17.1,18.8,19.5,19.1,27,26.4,28.2,29,29.9,29.9,31.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,AT34,Vorarlberg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,14.1,14.7,15.1,15.4,16.2,15.9,16.2,16.2,16.2,16.6,15.5,16.8,18.4,19,25.6,26.5,27.7,28.1,27.6,28.4,29.2
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,BE10,Region de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,37,35.3,37.3,38.6,40.4,41.5,41,41,40.4,42.4,42.1,42.4,42.7,41.5,43.5,43.4,44.1,46.6,47.5,47.1,49.3
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,BE21,Prov. Antwerpen,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,26.9,28.7,27.4,28.4,29.4,29.6,31.7,30.6,32.2,32,35.2,33.5,35.3,35.4,38.1,37.6,34.9,38.2,40,40,41
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,BE22,Prov. Limburg (BE),,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,22.1,23.6,24.2,23,27.4,25.1,27.1,27.8,27.8,28.6,29.3,28.8,30.7,28.7,31.1,32.1,32.9,35.4,35.8,36.7,37.7
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,BE23,Prov. Oost-Vlaanderen,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,26.5,25.6,27.9,27.6,29.7,30.1,30.6,31.3,31.5,33.8,34.7,35.1,34.9,37.3,36.7,37.5,39.6,42.6,42.8,41.5,44.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,BE24,Prov. Vlaams-Brabant,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,33.3,35,34.7,36.9,39.9,39.7,40.6,40.5,40.8,44.2,44.6,42.1,43.6,44.3,45.8,44.7,47.3,50.7,48.7,49.2,51.4
